"gloss","target_child_name","part_of_speech","target_child_sex"
"a brilliant",NA,"det:art adj","male"
"the water was a brilliant shade of turquoise and dolphins leapt in and out of the water as if they were dancing",NA,"det:art n cop det:art adj n prep n coord n v adv coord adv prep det:art n prep conj pro:sub aux part","female"
